UID,level,grammar,accuracy,hesitateratio
30914025,1,-1,1.0,1.0
30914025,1,10,1.0,0.5
30914025,1,11,1.0,0.6666666666666666
30914025,1,6,1.0,1.0
30914025,2,-1,0.25,0.75
30914025,2,10,0.5,0.75
30914025,2,11,1.0,0.6666666666666666
30914025,2,13,1.0,1.0
30914025,2,14,0.5,1.0
30914025,2,15,0.8,0.8
30914025,2,18,1.0,0.5
30914025,2,21,1.0,1.0
30914025,2,22,1.0,0.5
30914025,2,6,1.0,1.0
30914025,2,8,0.0,1.0
30914025,3,-1,0.5,0.75
30914025,3,14,1.0,1.0
30914025,3,15,1.0,1.0
30914025,3,3,1.0,1.0
30914026,1,-1,1.0,1.0
30914026,1,10,1.0,0.5
30914026,1,11,1.0,0.6666666666666666
30914026,1,6,1.0,0.0
30914026,2,-1,0.25,0.75
30914026,2,10,0.0,0.75
30914026,2,11,0.0,1.0
30914026,2,13,0.5,0.5
30914026,2,14,0.5,0.5
30914026,2,15,0.4,0.6
30914026,2,18,0.5,0.5
30914026,2,21,0.0,1.0
30914026,2,22,0.5,0.5
30914026,2,6,1.0,0.0
30914026,2,8,0.0,1.0
30914026,3,-1,0.0,0.75
30914026,3,14,1.0,0.0
30914026,3,15,0.5,0.5
30914026,3,3,0.0,1.0
30914904,1,-1,0.0,1.0
30914904,1,10,1.0,1.0
30914904,1,11,0.3333333333333333,1.0
30914904,1,6,1.0,1.0
30914904,2,-1,0.25,0.75
30914904,2,10,0.0,1.0
30914904,2,11,0.3333333333333333,1.0
30914904,2,13,0.5,1.0
30914904,2,14,0.5,1.0
30914904,2,15,0.4,0.8
30914904,2,18,0.0,1.0
30914904,2,21,0.0,1.0
30914904,2,22,0.5,1.0
30914904,2,6,1.0,1.0
30914904,2,8,0.0,0.5
30914904,3,-1,0.0,1.0
30914904,3,14,0.0,1.0
30914904,3,15,0.5,1.0
30914904,3,3,1.0,1.0
60910014,1,-1,1.0,1.0
60910014,1,10,1.0,1.0
60910014,1,11,1.0,1.0
60910014,1,6,1.0,0.0
60910014,2,-1,1.0,0.75
60910014,2,10,0.5,0.75
60910014,2,11,1.0,1.0
60910014,2,13,1.0,1.0
60910014,2,14,1.0,0.5
60910014,2,15,0.8,1.0
60910014,2,18,1.0,1.0
60910014,2,21,1.0,1.0
60910014,2,22,1.0,1.0
60910014,2,6,1.0,1.0
60910014,2,8,0.5,0.5
60910014,3,-1,0.25,1.0
60910014,3,14,0.0,1.0
60910014,3,15,0.5,1.0
60910014,3,3,1.0,1.0
60910020,1,-1,1.0,1.0
60910020,1,10,1.0,1.0
60910020,1,11,1.0,1.0
60910020,1,6,1.0,1.0
60910020,2,-1,0.25,1.0
60910020,2,10,0.25,0.75
60910020,2,11,0.6666666666666666,0.6666666666666666
60910020,2,13,1.0,0.5
60910020,2,14,0.5,0.5
60910020,2,15,0.8,0.8
60910020,2,18,1.0,1.0
60910020,2,21,0.0,1.0
60910020,2,22,1.0,0.5
60910020,2,6,1.0,0.5
60910020,2,8,0.0,0.5
60910020,3,-1,0.0,0.75
60910020,3,14,0.0,1.0
60910020,3,15,0.5,1.0
60910020,3,3,1.0,1.0
60910022,1,-1,0.0,1.0
60910022,1,10,1.0,0.0
60910022,1,11,1.0,0.3333333333333333
60910022,1,6,1.0,1.0
60910022,2,-1,0.75,1.0
60910022,2,10,0.25,1.0
60910022,2,11,0.3333333333333333,1.0
60910022,2,13,0.5,1.0
60910022,2,14,0.5,1.0
60910022,2,15,0.4,1.0
60910022,2,18,0.0,1.0
60910022,2,21,0.0,1.0
60910022,2,22,0.5,1.0
60910022,2,6,0.5,0.5
60910022,2,8,0.0,1.0
60910022,3,-1,0.0,1.0
60910022,3,14,0.0,1.0
60910022,3,15,0.0,1.0
60910022,3,3,0.0,1.0
60910037,1,-1,1.0,1.0
60910037,1,10,0.5,1.0
60910037,1,11,1.0,1.0
60910037,1,6,1.0,0.0
60910037,2,-1,0.0,1.0
60910037,2,10,0.25,1.0
60910037,2,11,0.3333333333333333,1.0
60910037,2,13,1.0,1.0
60910037,2,14,0.5,1.0
60910037,2,15,0.6,1.0
60910037,2,18,0.5,1.0
60910037,2,21,0.0,1.0
60910037,2,22,0.0,1.0
60910037,2,6,0.5,0.5
60910037,2,8,0.0,1.0
60910037,3,-1,0.25,0.75
60910037,3,14,0.0,1.0
60910037,3,15,0.0,1.0
60910037,3,3,0.0,1.0
60910044,1,-1,0.0,1.0
60910044,1,10,0.5,0.0
60910044,1,11,1.0,0.3333333333333333
60910044,1,6,1.0,1.0
60910044,2,-1,0.0,0.5
60910044,2,10,0.0,0.0
60910044,2,11,0.3333333333333333,0.6666666666666666
60910044,2,13,1.0,0.5
60910044,2,14,0.5,1.0
60910044,2,15,0.6,0.6
60910044,2,18,0.5,0.0
60910044,2,21,0.0,1.0
60910044,2,22,0.5,0.0
60910044,2,6,1.0,0.5
60910044,2,8,0.0,1.0
60910044,3,-1,0.25,0.75
60910044,3,14,0.0,1.0
60910044,3,15,0.0,1.0
60910044,3,3,0.0,1.0
60910046,1,-1,1.0,1.0
60910046,1,10,0.5,0.5
60910046,1,11,1.0,1.0
60910046,1,6,1.0,1.0
60910046,2,-1,0.25,0.25
60910046,2,10,0.25,0.5
60910046,2,11,0.3333333333333333,0.6666666666666666
60910046,2,13,0.5,1.0
60910046,2,14,0.5,1.0
60910046,2,15,0.4,1.0
60910046,2,18,0.0,1.0
60910046,2,21,0.0,0.0
60910046,2,22,0.0,0.5
60910046,2,6,0.5,0.5
60910046,2,8,0.0,1.0
60910046,3,-1,0.0,0.75
60910046,3,14,1.0,1.0
60910046,3,15,0.5,0.5
60910046,3,3,0.0,0.0
60910090,1,-1,1.0,0.0
60910090,1,10,0.5,1.0
60910090,1,11,0.6666666666666666,1.0
60910090,1,6,1.0,1.0
60910090,2,-1,0.75,0.75
60910090,2,10,0.5,1.0
60910090,2,11,0.6666666666666666,0.6666666666666666
60910090,2,13,1.0,0.5
60910090,2,14,0.5,1.0
60910090,2,15,0.6,0.6
60910090,2,18,1.0,0.5
60910090,2,21,1.0,1.0
60910090,2,22,0.5,0.0
60910090,2,6,1.0,0.5
60910090,2,8,0.0,1.0
60910090,3,-1,0.0,0.75
60910090,3,14,0.0,1.0
60910090,3,15,0.0,1.0
60910090,3,3,0.0,1.0
60910103,1,-1,0.0,0.0
60910103,1,10,1.0,0.5
60910103,1,11,1.0,0.6666666666666666
60910103,1,6,1.0,1.0
60910103,2,-1,0.75,0.25
60910103,2,10,0.5,0.75
60910103,2,11,0.6666666666666666,0.3333333333333333
60910103,2,13,1.0,1.0
60910103,2,14,1.0,0.5
60910103,2,15,0.8,0.6
60910103,2,18,1.0,1.0
60910103,2,21,1.0,0.0
60910103,2,22,0.5,0.0
60910103,2,6,1.0,0.5
60910103,2,8,1.0,0.0
60910103,3,-1,0.25,0.5
60910103,3,14,1.0,1.0
60910103,3,15,1.0,1.0
60910103,3,3,1.0,1.0
60911041,1,-1,1.0,1.0
60911041,1,10,1.0,0.0
60911041,1,11,1.0,0.6666666666666666
60911041,1,6,1.0,1.0
60911041,2,-1,0.25,0.5
60911041,2,10,0.5,0.75
60911041,2,11,0.3333333333333333,0.6666666666666666
60911041,2,13,0.5,1.0
60911041,2,14,1.0,1.0
60911041,2,15,0.4,1.0
60911041,2,18,1.0,1.0
60911041,2,21,1.0,0.0
60911041,2,22,0.5,1.0
60911041,2,6,1.0,0.5
60911041,2,8,0.5,1.0
60911041,3,-1,0.25,0.75
60911041,3,14,1.0,1.0
60911041,3,15,1.0,1.0
60911041,3,3,1.0,1.0
60911043,1,-1,0.0,1.0
60911043,1,10,1.0,1.0
60911043,1,11,1.0,0.6666666666666666
60911043,1,6,1.0,1.0
60911043,2,-1,0.5,0.5
60911043,2,10,0.5,1.0
60911043,2,11,0.3333333333333333,0.3333333333333333
60911043,2,13,0.5,1.0
60911043,2,14,0.5,1.0
60911043,2,15,0.4,0.8
60911043,2,18,0.5,1.0
60911043,2,21,0.0,0.0
60911043,2,22,0.5,0.0
60911043,2,6,1.0,0.5
60911043,2,8,0.0,1.0
60911043,3,-1,0.75,0.5
60911043,3,14,0.0,0.0
60911043,3,15,0.5,0.0
60911043,3,3,1.0,0.0
60911060,1,-1,1.0,0.0
60911060,1,10,1.0,1.0
60911060,1,11,1.0,0.6666666666666666
60911060,1,6,1.0,0.0
60911060,2,-1,0.5,0.5
60911060,2,10,0.5,0.75
60911060,2,11,1.0,0.3333333333333333
60911060,2,13,1.0,0.0
60911060,2,14,1.0,0.5
60911060,2,15,0.8,0.2
60911060,2,18,1.0,0.5
60911060,2,21,1.0,1.0
60911060,2,22,1.0,0.5
60911060,2,6,1.0,1.0
60911060,2,8,0.5,1.0
60911060,3,-1,0.25,0.75
60911060,3,14,1.0,1.0
60911060,3,15,1.0,1.0
60911060,3,3,1.0,1.0
60911065,1,-1,0.0,1.0
60911065,1,10,1.0,0.5
60911065,1,11,1.0,1.0
60911065,1,6,1.0,1.0
60911065,2,-1,0.25,0.75
60911065,2,10,0.5,1.0
60911065,2,11,0.6666666666666666,0.3333333333333333
60911065,2,13,1.0,0.5
60911065,2,14,0.5,1.0
60911065,2,15,0.6,0.6
60911065,2,18,0.5,0.5
60911065,2,21,1.0,0.0
60911065,2,22,0.5,0.5
60911065,2,6,0.5,1.0
60911065,2,8,0.0,1.0
60911065,3,-1,0.25,0.75
60911065,3,14,1.0,1.0
60911065,3,15,0.5,0.5
60911065,3,3,0.0,0.0
60911069,1,-1,1.0,1.0
60911069,1,10,1.0,0.0
60911069,1,11,1.0,0.6666666666666666
60911069,1,6,1.0,1.0
60911069,2,-1,0.75,1.0
60911069,2,10,0.0,1.0
60911069,2,11,0.0,1.0
60911069,2,13,0.5,1.0
60911069,2,14,0.5,1.0
60911069,2,15,0.4,1.0
60911069,2,18,0.5,1.0
60911069,2,21,0.0,1.0
60911069,2,22,0.5,1.0
60911069,2,6,1.0,0.5
60911069,2,8,0.0,1.0
60911069,3,-1,0.25,1.0
60911069,3,14,0.0,1.0
60911069,3,15,0.0,1.0
60911069,3,3,0.0,1.0
60911072,1,-1,0.0,1.0
60911072,1,10,1.0,1.0
60911072,1,11,1.0,1.0
60911072,1,6,1.0,1.0
60911072,2,-1,0.25,0.75
60911072,2,10,0.5,0.5
60911072,2,11,0.3333333333333333,0.3333333333333333
60911072,2,13,0.5,1.0
60911072,2,14,0.5,1.0
60911072,2,15,0.6,0.8
60911072,2,18,0.5,0.5
60911072,2,21,0.0,0.0
60911072,2,22,1.0,0.5
60911072,2,6,0.5,1.0
60911072,2,8,0.0,1.0
60911072,3,-1,0.0,0.75
60911072,3,14,0.0,1.0
60911072,3,15,0.0,1.0
60911072,3,3,0.0,1.0
90910001,1,-1,1.0,0.0
90910001,1,10,1.0,0.5
90910001,1,11,0.6666666666666666,0.6666666666666666
90910001,1,6,1.0,1.0
90910001,2,-1,0.5,1.0
90910001,2,10,0.25,0.75
90910001,2,11,0.3333333333333333,0.3333333333333333
90910001,2,13,1.0,0.0
90910001,2,14,1.0,1.0
90910001,2,15,0.6,0.4
90910001,2,18,0.5,0.0
90910001,2,21,0.0,1.0
90910001,2,22,0.5,0.5
90910001,2,6,1.0,1.0
90910001,2,8,0.5,1.0
90910001,3,-1,0.0,1.0
90910001,3,14,0.0,0.0
90910001,3,15,0.5,0.0
90910001,3,3,1.0,0.0
90910004,1,-1,0.0,1.0
90910004,1,10,0.5,0.5
90910004,1,11,1.0,0.6666666666666666
90910004,1,6,1.0,1.0
90910004,2,-1,0.75,0.25
90910004,2,10,0.75,0.75
90910004,2,11,0.3333333333333333,0.3333333333333333
90910004,2,13,0.0,0.5
90910004,2,14,0.5,1.0
90910004,2,15,0.4,0.6
90910004,2,18,0.5,0.5
90910004,2,21,0.0,0.0
90910004,2,22,1.0,0.5
90910004,2,6,1.0,1.0
90910004,2,8,0.0,1.0
90910004,3,-1,0.25,0.75
90910004,3,14,0.0,1.0
90910004,3,15,0.5,1.0
90910004,3,3,1.0,1.0
90910033,1,-1,1.0,1.0
90910033,1,10,0.5,1.0
90910033,1,11,1.0,1.0
90910033,1,6,1.0,1.0
90910033,2,-1,0.5,1.0
90910033,2,10,0.25,1.0
90910033,2,11,0.0,1.0
90910033,2,13,0.5,1.0
90910033,2,14,0.5,1.0
90910033,2,15,0.4,1.0
90910033,2,18,0.5,1.0
90910033,2,21,0.0,1.0
90910033,2,22,0.0,1.0
90910033,2,6,0.5,1.0
90910033,2,8,0.0,1.0
90910033,3,-1,0.25,0.5
90910033,3,14,1.0,0.0
90910033,3,15,0.5,0.5
90910033,3,3,0.0,1.0
90910034,1,-1,1.0,1.0
90910034,1,10,1.0,0.5
90910034,1,11,0.3333333333333333,0.6666666666666666
90910034,1,6,1.0,1.0
90910034,2,-1,0.5,0.75
90910034,2,10,0.5,1.0
90910034,2,11,0.6666666666666666,0.3333333333333333
90910034,2,13,0.5,0.0
90910034,2,14,1.0,0.0
90910034,2,15,0.6,0.0
90910034,2,18,0.5,0.5
90910034,2,21,0.0,1.0
90910034,2,22,1.0,0.0
90910034,2,6,1.0,0.5
90910034,2,8,0.5,0.0
90910034,3,-1,0.25,1.0
90910034,3,14,0.0,0.0
90910034,3,15,0.0,0.5
90910034,3,3,0.0,1.0
90910038,1,-1,0.0,0.0
90910038,1,10,1.0,1.0
90910038,1,11,1.0,0.6666666666666666
90910038,1,6,1.0,1.0
90910038,2,-1,0.25,0.5
90910038,2,10,1.0,0.5
90910038,2,11,0.6666666666666666,0.6666666666666666
90910038,2,13,1.0,1.0
90910038,2,14,0.5,0.5
90910038,2,15,0.6,0.8
90910038,2,18,1.0,0.5
90910038,2,21,1.0,1.0
90910038,2,22,0.5,0.5
90910038,2,6,1.0,0.5
90910038,2,8,0.0,0.5
90910038,3,-1,0.25,0.0
90910038,3,14,0.0,0.0
90910038,3,15,0.5,0.5
90910038,3,3,1.0,1.0
