,UID,WID,Understand,stopcount,xUTurnCount
0,30914025,22,4,0,11
1,30914025,32,4,4,21
3,30914025,46,4,11,7
5,30914025,58,2,20,32
7,30914025,60,4,6,27
8,30914025,61,4,4,32
10,30914025,68,4,3,19
11,30914025,76,2,22,56
13,30914025,92,4,18,48
14,30914025,99,4,3,36
15,30914025,127,2,7,42
16,30914025,129,4,3,14
18,30914025,139,4,15,30
19,30914025,141,2,13,30
20,30914025,143,4,5,29
21,30914025,147,2,32,53
22,30914025,160,2,30,55
24,30914025,162,2,42,64
25,30914025,176,2,7,32
26,30914025,181,2,33,59
27,30914025,184,2,14,27
28,30914025,186,2,19,34
29,30914025,191,2,15,30
30,30914026,22,4,1,12
32,30914026,45,4,9,23
34,30914026,54,4,2,11
36,30914026,59,4,10,11
37,30914026,60,4,14,15
38,30914026,61,2,13,22
39,30914026,67,4,3,12
41,30914026,76,2,6,27
42,30914026,89,4,14,21
43,30914026,92,4,6,16
44,30914026,99,2,28,28
45,30914026,127,2,40,38
49,30914026,141,2,16,20
51,30914026,147,2,23,31
52,30914026,160,2,28,38
53,30914026,161,2,42,80
54,30914026,162,4,0,9
56,30914026,181,2,9,29
57,30914026,184,2,20,41
61,30914904,32,4,1,10
62,30914904,45,4,2,9
63,30914904,46,4,5,11
64,30914904,54,4,7,46
65,30914904,58,2,11,27
66,30914904,59,4,4,15
67,30914904,60,4,10,24
68,30914904,61,4,2,18
69,30914904,67,4,8,28
70,30914904,68,4,2,20
71,30914904,76,2,11,45
72,30914904,89,4,2,14
73,30914904,92,4,6,35
74,30914904,99,4,1,10
75,30914904,127,4,12,25
76,30914904,129,4,5,18
77,30914904,138,2,13,19
78,30914904,139,2,9,27
79,30914904,141,2,19,32
83,30914904,161,2,42,24
84,30914904,162,4,2,18
85,30914904,176,4,7,14
87,30914904,184,4,5,21
88,30914904,186,4,3,29
89,30914904,191,4,3,20
90,60910014,22,4,0,6
92,60910014,45,2,3,15
93,60910014,46,4,3,9
94,60910014,54,4,0,13
95,60910014,58,4,3,11
96,60910014,59,2,12,12
99,60910014,67,4,0,15
100,60910014,68,4,0,11
101,60910014,76,2,24,15
102,60910014,89,2,15,26
103,60910014,92,4,5,14
104,60910014,99,4,2,15
105,60910014,127,2,21,33
106,60910014,129,4,4,17
107,60910014,138,4,9,8
108,60910014,139,2,9,13
110,60910014,143,4,0,11
111,60910014,147,2,24,29
113,60910014,161,2,15,28
114,60910014,162,4,0,4
115,60910014,176,2,16,21
116,60910014,181,4,6,15
117,60910014,184,2,2,9
118,60910014,186,4,5,17
120,60910020,22,4,1,10
121,60910020,32,4,3,13
122,60910020,45,4,4,24
123,60910020,46,4,4,12
124,60910020,54,4,1,13
126,60910020,59,4,5,16
127,60910020,60,4,3,13
128,60910020,61,4,1,10
130,60910020,68,4,2,11
132,60910020,89,4,14,31
134,60910020,99,4,4,20
136,60910020,129,4,1,12
137,60910020,138,4,5,12
138,60910020,139,4,4,15
140,60910020,143,4,0,11
141,60910020,147,4,6,19
142,60910020,160,4,10,15
143,60910020,161,4,5,20
144,60910020,162,4,3,13
146,60910020,181,4,6,18
148,60910020,186,4,4,15
149,60910020,191,4,3,10
150,60910022,22,4,1,11
151,60910022,32,4,2,19
152,60910022,45,2,9,17
155,60910022,58,2,18,28
156,60910022,59,2,4,18
157,60910022,60,2,28,25
158,60910022,61,4,7,26
161,60910022,76,2,24,43
162,60910022,89,2,20,26
164,60910022,99,2,22,33
165,60910022,127,2,20,23
166,60910022,129,2,8,25
168,60910022,139,2,12,22
169,60910022,141,2,11,21
170,60910022,143,4,4,13
171,60910022,147,2,28,31
172,60910022,160,2,20,26
173,60910022,161,2,23,49
174,60910022,162,4,0,13
175,60910022,176,2,18,27
176,60910022,181,2,6,21
177,60910022,184,2,10,20
178,60910022,186,2,6,26
180,60910037,22,4,4,12
182,60910037,45,2,24,15
183,60910037,46,4,0,6
184,60910037,54,2,8,10
185,60910037,58,2,37,19
186,60910037,59,2,16,23
187,60910037,60,2,8,8
188,60910037,61,2,24,31
189,60910037,67,2,10,15
190,60910037,68,2,14,17
191,60910037,76,2,9,15
192,60910037,89,2,37,39
194,60910037,99,2,18,16
195,60910037,127,2,21,24
196,60910037,129,2,21,13
197,60910037,138,2,5,12
198,60910037,139,2,60,50
199,60910037,141,2,8,18
200,60910037,143,2,2,5
201,60910037,147,2,16,19
202,60910037,160,2,48,23
203,60910037,161,2,27,24
204,60910037,162,2,40,19
205,60910037,176,2,20,22
206,60910037,181,2,17,23
207,60910037,184,2,15,13
208,60910037,186,2,10,9
210,60910044,22,4,0,13
211,60910044,32,4,7,13
221,60910044,76,2,13,12
222,60910044,89,2,60,37
224,60910044,99,2,11,17
225,60910044,127,2,38,26
227,60910044,138,2,18,13
228,60910044,139,2,24,24
229,60910044,141,2,26,18
230,60910044,143,4,1,9
231,60910044,147,2,61,27
232,60910044,160,2,60,40
233,60910044,161,2,30,39
236,60910044,181,2,15,9
237,60910044,184,2,36,27
239,60910044,191,2,28,29
240,60910046,22,4,0,10
241,60910046,32,4,7,26
242,60910046,45,2,9,20
243,60910046,46,4,5,11
244,60910046,54,4,0,20
245,60910046,58,2,2,27
246,60910046,59,4,2,16
249,60910046,67,4,3,21
253,60910046,92,4,9,26
255,60910046,127,2,6,18
256,60910046,129,2,6,17
257,60910046,138,2,5,19
258,60910046,139,2,9,29
259,60910046,141,2,20,16
261,60910046,147,2,24,33
262,60910046,160,2,10,27
263,60910046,161,2,15,39
267,60910046,184,2,12,22
269,60910046,191,4,0,13
270,60910090,22,4,0,8
271,60910090,32,4,2,11
273,60910090,46,4,8,9
274,60910090,54,4,2,17
275,60910090,58,4,11,26
276,60910090,59,2,4,10
277,60910090,60,4,8,11
278,60910090,61,4,7,15
279,60910090,67,4,4,21
280,60910090,68,4,15,13
281,60910090,76,2,3,14
282,60910090,89,4,12,23
284,60910090,99,4,2,15
285,60910090,127,4,13,23
287,60910090,138,2,22,18
288,60910090,139,2,7,19
289,60910090,141,2,10,20
291,60910090,147,2,8,23
293,60910090,161,2,16,26
294,60910090,162,4,3,16
296,60910090,181,4,4,20
298,60910090,186,4,6,13
299,60910090,191,4,3,19
300,60910103,22,4,0,15
301,60910103,32,4,0,9
303,60910103,46,4,4,15
305,60910103,58,2,41,53
306,60910103,59,4,7,18
307,60910103,60,2,16,22
309,60910103,67,4,16,17
311,60910103,76,2,36,16
313,60910103,92,4,6,15
314,60910103,99,4,10,26
315,60910103,127,4,20,29
316,60910103,129,4,5,12
317,60910103,138,2,16,26
320,60910103,143,4,4,6
324,60910103,162,4,1,13
329,60910103,191,4,0,13
330,60911041,22,4,2,13
331,60911041,32,4,1,12
332,60911041,45,2,22,16
