UID,whilecount,教師データ数,指定学生のデータ数,accuracy,precision_y,recall_y,f1_y,precision_n,recall_n,f1_n,featuresdict_sorted
30914025,0,437,0,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.026382466454359387; xUTurnCount: 0.03137474793356501; maxDDTime: 0.0367832740708533; averageSpeed: 0.043797874700645646; maxSpeed: 0.05407722323259947; yUTurnCount: 0.05468206847047088; thinkingTime: 0.06078161334578652; maxStopTime: 0.06892899585986137; maxDDIntervalTime: 0.0691644112046776; distance: 0.09188098558100986; time: 0.1266890506131314; totalDDIntervalTime: 0.1356855846206134; answeringTime: 0.19977170391242613
30914025,0,874,0,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.024774128535165762; xUTurnCount: 0.03052817122970861; maxDDTime: 0.040625327740559596; averageSpeed: 0.04516897547520678; maxSpeed: 0.053352565679410296; yUTurnCount: 0.05941187046633988; thinkingTime: 0.06369568739689309; maxStopTime: 0.06852071769379556; maxDDIntervalTime: 0.07064858176670581; distance: 0.08159436128387079; totalDDIntervalTime: 0.12979403367628697; time: 0.12985558172256842; answeringTime: 0.20202999733348856
30914025,1,448,11,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.028076974183240497; xUTurnCount: 0.032168600883013515; maxDDTime: 0.039890886003704065; averageSpeed: 0.05065894008263782; maxSpeed: 0.052305067715299185; yUTurnCount: 0.055499197140184926; thinkingTime: 0.05828179604643841; maxStopTime: 0.06621379917103731; maxDDIntervalTime: 0.06994490079945016; distance: 0.08967933140489501; time: 0.13286780669347162; totalDDIntervalTime: 0.1332781015456828; answeringTime: 0.19113459833094468
30914025,2,459,22,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.02459469728107969; xUTurnCount: 0.0281271919303719; maxDDTime: 0.0418215491098004; averageSpeed: 0.04847749585717729; maxSpeed: 0.05243289945230435; thinkingTime: 0.053914696539556405; yUTurnCount: 0.05677497652001292; maxStopTime: 0.06468342188330159; maxDDIntervalTime: 0.06588447272142792; distance: 0.09263705717409136; time: 0.13544187699494936; totalDDIntervalTime: 0.13663923656268967; answeringTime: 0.1985704279732371
30914025,3,470,33,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.018988844488696314; xUTurnCount: 0.02980564464067437; maxDDTime: 0.04186377833228239; averageSpeed: 0.05097485707275706; maxSpeed: 0.05283097333642342; yUTurnCount: 0.055289135423276; thinkingTime: 0.057628720170022615; maxStopTime: 0.0665314243046574; maxDDIntervalTime: 0.06943730845227936; distance: 0.0901880880529382; time: 0.1267940496811308; totalDDIntervalTime: 0.14896760163453893; answeringTime: 0.19069957441032323
30914025,4,481,44,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.023854634956761555; xUTurnCount: 0.028203529373789074; maxDDTime: 0.03846368808523728; averageSpeed: 0.05346393413778163; yUTurnCount: 0.053475306244976296; maxSpeed: 0.054753016428274945; thinkingTime: 0.054846217890214356; maxStopTime: 0.06092510919499081; maxDDIntervalTime: 0.07280739651989485; distance: 0.09056539350383151; time: 0.12825640134947014; totalDDIntervalTime: 0.15626595795046572; answeringTime: 0.1841194143643119
30914025,5,492,55,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.01762255302939658; xUTurnCount: 0.02754673230571434; maxDDTime: 0.037020643840474196; thinkingTime: 0.052474865420408336; yUTurnCount: 0.05425247995165122; averageSpeed: 0.055154411717666434; maxSpeed: 0.057805605007266316; maxStopTime: 0.061375821386515886; maxDDIntervalTime: 0.07062945970513351; distance: 0.08525971759910964; time: 0.12774887153014416; totalDDIntervalTime: 0.1697450435208227; answeringTime: 0.18336379498569652
30914025,6,503,66,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.020481081074122446; xUTurnCount: 0.026949275795180593; maxDDTime: 0.03926399870928882; thinkingTime: 0.049961398603043716; yUTurnCount: 0.05348581399281553; averageSpeed: 0.05388558632161975; maxSpeed: 0.0595671431691826; maxStopTime: 0.06103956031082494; maxDDIntervalTime: 0.0711597734060625; distance: 0.08394320187150546; time: 0.12720919913280418; totalDDIntervalTime: 0.1660717869646429; answeringTime: 0.1869821806489065
30914025,7,514,77,0.75,0.5,1,0.666666667,1,0.666666667,0.8,DDCount: 0.021879011810681557; xUTurnCount: 0.03331518241142269; maxDDTime: 0.034804598525647615; thinkingTime: 0.04919754380853243; averageSpeed: 0.05757171565175322; maxSpeed: 0.057878347145257664; yUTurnCount: 0.06347461252138085; maxStopTime: 0.06971384428126352; maxDDIntervalTime: 0.07432650202829373; distance: 0.07712295846858097; time: 0.12254639798948214; totalDDIntervalTime: 0.1609672145392403; answeringTime: 0.17720207081846323
30914025,8,525,88,0.833333333,0.6,1,0.75,1,0.777777778,0.875,DDCount: 0.020699905863763794; xUTurnCount: 0.034149930928977466; maxDDTime: 0.03616897315070032; thinkingTime: 0.04914070737055095; averageSpeed: 0.0522249762447481; maxSpeed: 0.05877045241546266; yUTurnCount: 0.05966824851939764; maxDDIntervalTime: 0.07296932545523287; distance: 0.07445659985123498; maxStopTime: 0.07558231935036976; time: 0.11593386291238535; totalDDIntervalTime: 0.17221045837085983; answeringTime: 0.17802423956631616
